file,entity_type,en_field,ua_field,state,ua_status,ua_drafted_by,draft_revision,en_chars,ua_chars,mtime_days,defer,note
knowledge_base/hosted/content/biomarkers/bio_vhl_classification_phenotype.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_surveillance_2026_05_18,1,1305,365,49,,
knowledge_base/hosted/content/biomarkers/bio_vhl_germline.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_v04_germline_batch2,1,378,144,50,,
knowledge_base/hosted/content/biomarkers/bio_vhl_status.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,83,145,56,,
knowledge_base/hosted/content/biomarkers/bio_wt1_germline.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_v05_germline_batch3,1,410,143,49,,
knowledge_base/hosted/content/biomarkers/bio_wt1_mutation.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,503,333,56,,
knowledge_base/hosted/content/biomarker_actionability/bma_1p19q_codeletion_lgg.yaml,biomarker_actionability,evidence_summary,evidence_summary_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_03,2,1184,1407,56,,
knowledge_base/hosted/content/biomarker_actionability/bma_1p19q_codeletion_lgg.yaml,biomarker_actionability,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_03,2,731,806,56,,
knowledge_base/hosted/content/biomarker_actionability/bma_afp_hcc_aasld_surveillance.yaml,biomarker_actionability,evidence_summary,evidence_summary_ua,missing,,,,893,0,49,,
knowledge_base/hosted/content/biomarker_actionability/bma_afp_hcc_aasld_surveillance.yaml,biomarker_actionability,notes,notes_ua,missing,,,,680,0,49,,
knowledge_base/hosted/content/biomarker_actionability/bma_alk_eml4_v1_nsclc.yaml,biomarker_actionability,evidence_summary,evidence_summary_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_03,2,267,430,56,,
knowledge_base/hosted/content/biomarker_actionability/bma_alk_eml4_v1_nsclc.yaml,biomarker_actionability,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_03,2,138,214,56,,
knowledge_base/hosted/content/biomarker_actionability/bma_alk_eml4_v3_nsclc.yaml,biomarker_actionability,evidence_summary,evidence_summary_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_03,2,286,458,56,,
knowledge_base/hosted/content/biomarker_actionability/bma_alk_eml4_v3_nsclc.yaml,biomarker_actionability,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_03,2,159,267,56,,
knowledge_base/hosted/content/biomarker_actionability/bma_alk_fusion_alcl.yaml,biomarker_actionability,evidence_summary,evidence_summary_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_03,2,332,445,56,,
knowledge_base/hosted/content/biomarker_actionability/bma_alk_fusion_alcl.yaml,biomarker_actionability,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_03,2,160,252,56,,
knowledge_base/hosted/content/biomarker_actionability/bma_alk_fusion_nsclc.yaml,biomarker_actionability,evidence_summary,evidence_summary_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_03,2,256,381,56,,
knowledge_base/hosted/content/biomarker_actionability/bma_alk_fusion_nsclc.yaml,biomarker_actionability,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_03,2,197,202,56,,
knowledge_base/hosted/content/biomarker_actionability/bma_alk_g1202r_nsclc.yaml,biomarker_actionability,evidence_summary,evidence_summary_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_03,2,294,369,56,,
knowledge_base/hosted/content/biomarker_actionability/bma_alk_g1202r_nsclc.yaml,biomarker_actionability,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_03,2,263,366,56,,
